live_url,clicks_12m,impressions_12m,status,destination
/,4324,265856,KEEPS URL,/
/locations/tucson/,4163,320235,KEEPS URL,/locations/tucson/
/locations/chandler/,3860,305650,KEEPS URL,/locations/chandler/
/blog/how-long-does-meth-stay-in-my-system/,2145,96955,BLOG — no home,
/locations/scottsdale-arizona/,1092,168119,NO HOME,
/careers/,507,6424,mapped,/about/
/blog/do-i-need-to-undergo-alcohol-detox-after-a-relapse/,486,11320,BLOG — no home,
/locations/,394,182931,KEEPS URL,/locations/
/blog/xanax-treatment/,317,18237,BLOG — no home,
/blog/can-you-still-travel-with-a-dui/,264,49598,BLOG — no home,
/blog/common-opioid-list/,253,31318,BLOG — no home,
/blog/are-meth-detox-home-remed…-the-best-meth-treatment-option/,243,6422,BLOG — no home,
/blog/six-stages-of-alcoholism/,209,34377,BLOG — no home,
/insurance/ahcccs-insurance-for-addiction-treatment/,203,18197,mapped,/insurance/ahcccs-medicaid/
/blog/mocktails-for-recovering-…y-towards-healing-and-enjoyment/,186,11145,BLOG — no home,
/blog/what-to-say-to-a-drug-addict-who-relapsed/,167,9500,BLOG — no home,
/about-us/staff/,151,5389,STAFF BIO — no home,
/blog/top-5-substance-abuse-group-therapy-activities/,146,13326,BLOG — no home,
/locations/who-we-serve/in-state/phoenix-az/,125,30636,mapped,/locations/phoenix/
/contact-us/,122,16071,mapped,/about/contact/
/our-programs/virtual-iop-treatment-arizona/,118,14599,NO HOME,
/blog/mixing-stimulants-and-dep…gers-consequences-and-treatment/,100,56746,BLOG — no home,
/insurance/mercy-care/,91,1636,mapped,/insurance/ahcccs-medicaid/
/blog/negative-impacts-of-alcohol-on-society/,82,9083,BLOG — no home,
/blog/a-story-of-redemption-with-garrett-deetz/,70,719,BLOG — no home,
/chandler-facility/,70,5702,NO HOME,
/blog/suboxone-detox/,50,6551,BLOG — no home,
/blog/the-seven-primary-types-of-drugs/,46,16073,BLOG — no home,
/blog/benefits-of-voluntarily-e…addiction-treatment-after-a-dui/,43,1540,BLOG — no home,
/blog/alcohol-poisoning-symptoms-vs-signs-of-being-drunk/,40,20067,BLOG — no home,
/locations/cave-creek/,37,3824,NO HOME,
/about-us/staff/dr-paul-r-valbuena/,36,1537,STAFF BIO — no home,
/blog/repairing-the-relationshi…fe-after-drug-alcohol-treatment/,35,3127,BLOG — no home,
/blog/what-are-the-effects-of-tramadol/,35,21318,BLOG — no home,
/blog/alcohol-cleanse-diet/,34,5232,BLOG — no home,
/glossary/adderall/,34,1773,GLOSSARY — no home,
/about-us/faq/,31,1204,mapped,/admissions/
/blog/fentanyl-effects/,31,872,BLOG — no home,
